position,age,value
425.62,9588,2.14
425.67,9590.1,2.23
425.72,9592.2,2.07
425.77,9594.4,2.2
425.82,9596.5,2.03
425.87,9598.6,1.88
425.92,9600.7,1.98
425.97,9602.9,1.96
426.02,9605,2.19
426.07,9607.1,2.37
426.12,9609.2,2.44
426.22,9613.5,2.47
426.27,9615.6,2.52
426.32,9617.7,2.5
426.37,9619.8,2.59
426.42,9622,2.24
426.47,9624.1,2.42
426.52,9626.2,2.32
426.57,9628.3,2.22
426.62,9630.5,2.17
426.67,9632.6,2.17
426.72,9634.7,2.13
426.77,9636.8,2.13
426.82,9638.9,2.23
426.87,9641.1,2.37
426.92,9643.2,2.17
426.97,9645.3,2.22
427.02,9647.4,2.39
427.07,9649.6,2.17
427.12,9651.7,2.23
427.17,9653.8,2.12
427.22,9655.9,2.29
427.27,9658.1,2.2
427.32,9660.2,2.26
427.42,9664.4,2.33
427.47,9666.5,2.21
427.52,9668.7,2.18
427.57,9670.8,2.12
427.62,9672.9,2.22
427.67,9675,2.15
427.72,9677.2,2.16
427.77,9679.3,1.93
427.82,9681.4,2.03
427.87,9683.5,2.12
427.92,9685.7,2.07
427.97,9687.8,2.2
428.02,9689.9,2.39
428.07,9692,2.26
428.12,9694.1,2.51
428.17,9696.3,2.53
428.22,9698.4,2.41
428.27,9700.5,2.38
428.32,9702.6,2.5
428.37,9704.8,2.34
428.42,9706.9,2.37
428.47,9709,2.33
428.52,9711.1,2.2
428.57,9713.3,2.18
428.62,9715.4,2.29
428.67,9717.5,2.26
428.72,9719.5,2.12
428.77,9721.4,2.3
428.82,9723.4,2.21
428.86,9725,2.11
428.92,9727.3,2.34
428.97,9729.3,2.34
429.02,9731.2,2.52
429.07,9733.2,2.43
429.12,9735.1,2.48
429.17,9737.1,2.54
429.22,9739.1,2.55
429.27,9741,2.49
429.32,9743,2.3
429.37,9744.9,2.14
429.42,9746.9,2.38
429.47,9748.8,2.23
429.52,9750.8,2.22
429.57,9752.8,2.17
429.62,9754.7,2.23
429.67,9756.7,2.18
429.72,9758.6,2.02
429.78,9761,2.09
429.83,9763,2.06
429.88,9764.9,2.04
429.93,9766.9,2.12
429.98,9768.8,2.07
430.03,9770.8,2.13
430.08,9772.7,2.24
430.13,9774.7,2.57
430.18,9776.7,2.37
430.23,9778.6,2.37
430.28,9780.6,2.45
430.33,9782.5,2.27
430.38,9784.5,2.35
430.43,9786.5,2.16
430.48,9788.4,2.09
430.53,9790.4,2.14
430.58,9792.3,2
430.63,9794.3,2.13
430.68,9796.2,2.35
430.73,9798.2,2.21
430.78,9800.2,2.12
430.83,9802.1,2.1
430.88,9804.1,2.23
430.93,9806,2.14
430.98,9808,2.33
431.03,9810,2.3
431.08,9811.9,2.49
431.13,9813.9,2.18
431.18,9815.8,2.68
431.23,9817.8,2.48
431.28,9819.7,2.53
431.33,9821.4,2.83
431.38,9823.1,2.64
431.42,9824.5,2.32
431.72,9834.6,2.3
431.77,9836.3,2.04
431.82,9838,2.17
431.87,9839.7,2.12
431.92,9841.4,2.11
431.97,9843.1,2.17
432.02,9844.8,2.2
432.07,9846.5,2.21
432.12,9848.2,2.13
432.17,9849.8,2.26
432.22,9851.5,2.02
432.27,9853.2,2.38
432.32,9854.9,2.55
432.37,9856.6,2.42
432.42,9858.3,2.49
432.47,9860,2.43
432.52,9861.7,2.41
432.57,9863.4,2.36
432.62,9865.1,2.32
432.67,9866.8,2.29
432.72,9868.5,2.2
432.77,9870.1,2.33
432.82,9871.8,2.29
432.87,9873.5,2.21
432.92,9875.2,2.25
432.97,9876.9,2.44
433.02,9878.6,2.32
433.07,9880.3,2.32
433.12,9882,2.01
433.17,9883.7,2.2
433.22,9885.4,1.7
433.27,9887.1,1.95
433.32,9888.8,2.22
433.37,9890.4,1.98
433.42,9892.1,2.27
433.47,9893.8,2.25
433.52,9895.5,2.34
433.57,9897.2,2.42
433.62,9898.9,2.46
433.67,9900.6,2.45
433.72,9902.3,2.36
433.77,9904,2.4
433.82,9905.7,2.36
433.87,9907.4,2.12
433.92,9909,2.14
433.97,9910.7,2.24
434.02,9912.4,2.26
434.07,9914.1,2.26
434.12,9915.8,2.24
434.17,9917.5,2.23
434.22,9919.2,2.23
434.27,9920.9,2.09
434.32,9922.6,2.19
434.37,9924.3,2.18
434.42,9926,2.28
434.47,9927.7,2.18
434.52,9929.3,2.31
434.57,9931,2.41
434.62,9932.7,2.32
434.67,9934.4,2.31
434.72,9936.1,2.4
434.77,9937.8,2.22
434.82,9939.5,2.3
434.87,9941.2,2.54
434.92,9942.9,2.32
434.97,9944.6,2.45
435.02,9946.3,2.17
435.07,9948,2.3
435.12,9949.6,2.29
435.17,9951.3,2.23
435.22,9953,2.21
435.27,9954.7,2.11
435.32,9956.4,2.1
435.37,9958.1,2.06
435.42,9959.8,2.08
435.47,9961.5,2.22
435.52,9963.2,2.19
435.57,9964.9,2.01
435.62,9966.6,2.11
435.67,9968.3,2.1
435.72,9969.9,2.03
435.77,9971.6,2.05
435.82,9973.3,2
435.87,9975,2.01
435.92,9976.7,2.1
435.97,9978.4,1.92
436.02,9980.1,2.04
436.07,9981.8,2.26
436.12,9983.5,2.11
436.17,9985.6,2.21
436.27,9991.7,1.92
436.32,9994.7,2.03
436.37,9997.7,1.9
436.42,10001,2.08
436.47,10004,2.07
436.52,10007,1.92
436.57,10010,1.91
436.62,10013,2.15
436.67,10016,1.99
436.72,10019,2.38
436.77,10022,2.24
436.82,10025,2.23
436.87,10028,2.33
436.92,10031,2.32
436.97,10034,2.31
437.02,10037,2.29
437.07,10040,2.26
437.12,10043,2.22
437.17,10046,2.21
437.22,10049,2.13
437.32,10055,2.03
437.37,10058,2.1
437.42,10061,2.1
437.47,10064,2.15
437.52,10067,1.97
437.57,10070,2.23
437.62,10073,2.08
437.67,10076,2.23
437.72,10079,2.13
437.77,10082,2.13
